20,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
-,^,^,^,^,^,~,~,~,~,-,-,-,-,-,-,-,-,-,-
-,-,^,^,~,~,~,~,^,^,-,-,-,-,-,-,-,-,-,-
-,-,^,^,~,~,~,^,^,^,-,-,-,-,-,-,-,-,-,-
-,-,^,~,~,~,^,^,^,-,-,-,-,-,-,-,-,-,-,-
-,-,^,^,^,-,-,-,-,-,-,~,~,~,~,~,~,~,~,~
-,-,^,^,^,-,-,-,-,-,-,~,~,~,~,~,~,~,~,~
-,-,^,^,^,-,-,-,-,-,-,~,~,-,-,-,-,-,~,~
-,-,^,^,^,-,-,-,-,-,-,~,~,-,-,-,-,-,~,~
-,-,-,~,~,-,-,-,-,~,~,~,~,-,-,-,-,-,~,~
-,-,^,^,^,-,-,-,~,~,~,~,~,~,~,~,~,~,~,~
-,-,^,^,^,-,-,~,~,~,~,~,~,~,~,~,~,~,~,~
-,-,^,^,~,~,~,^,^,^,-,-,-,-,-,-,-,-,-,-
-,-,^,^,~,~,~,~,^,^,-,-,-,-,-,-,-,-,-,-
-,-,^,^,~,~,~,^,^,^,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,~,-,-,-,-,-,-,-,-,-,-,-,-,-,-
~,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
~,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
~,~,~,~,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
~,~,^,~,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
~,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
^,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
