20,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
-,-,-,-,~,~,~,^,-,-,-,-,-,-,-,-,-,-,-,-
^,^,^,^,~,~,~,^,-,-,-,-,-,-,-,-,-,-,-,-
^,^,^,^,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,^,^,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,^,^,-,-,-,-,-,-,-,-,-,-,-,-
-,^,^,^,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-
-,^,^,^,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
